"Company Name ","Account Number","Country ","Reporting Year","Ticker Symbol ","ISIN ","Disclosure Score","Performance Band","Parent Account ","Permission","Response Status","Scope 1 (metric tonnes CO2e)","Scope 2 (metric tonnes CO2e)","Country Location"
"Christian Dior","3280","France","2013","CDI FP","FR0000130403","59","E",,"Not public","AQ*",,,"(46.227638, 2.213749)"
"Spectra Energy Corp","17527","USA","2013","SE US","US8475601097","98","A",,"Public","AQ*","8,381,680","608,390","(37.09024, -95.712891)"
"Endesa","5584","Spain","2013","ELE SM","ES0130670112","98","B","ENEL SpA","Public","AQ*","54,676,230","1,317,120.3","(40.463667, -3.74922)"
"Cummins Inc.","4136","USA","2013","CMI US","US2310211063","91","B",,"Public","AQ*","232,052","409,890","(37.09024, -95.712891)"
"Syngenta International AG","18141","Switzerland","2013","SYNN VX","CH0011037469","91","B",,"Public","AQ*","733,000","391,000","(46.818188, 8.227512)"
"American Express","692","USA","2013","AXP US","US0258161092","87","C",,"Public","AQ*","23,371","142,667","(37.09024, -95.712891)"
"AFLAC Incorporated","362","USA","2013","AFL US","US0010551028","85","B",,"Public","AQ*","3,884","18,536","(37.09024, -95.712891)"
"Biogen Idec Inc.","1857","USA","2013","BIIB US","US09062X1037","92","B",,"Public","AQ*","46,588","39,307","(37.09024, -95.712891)"
"Merck & Co., Inc.","11765","USA","2013","MRK US","US58933Y1055","87","B",,"Public","AQ*","1,053,000","927,000","(37.09024, -95.712891)"
"Citigroup Inc.","3398","USA","2013","C US","US1729674242","95","B",,"Public","AQ*","35,569.83","993,687.28","(37.09024, -95.712891)"
"Bank of Communications","1454","China","2013","3328 HK","CNE100000205","2",,,"Public","AQ*",,,"(35.86166, 104.195397)"
"Sampo Oyj","16175","Finland","2013","SAMAS FH","FI0009003305",,,,,"NR",,,"(61.92411, 25.748151)"
"ICICI Bank Limited","8776","India","2013","ICICIBC IN","INE090A01013",,,,,"NR",,,"(20.593684, 78.96288)"
"International Business Machines (IBM)","9284","USA","2013","IBM US","US4592001014","86","B",,"Public","AQ*","541,584","2,208,459","(37.09024, -95.712891)"
"Tenaris S.A.","22531","Luxembourg","2013","TEN IM","LU0156801721",,,,,"NR",,,"(49.815273, 6.129583)"
"Great-West Lifeco Inc.","7690","Canada","2013","GWO CN","CA39138C1068","67","B","Power Financial Corporation","Not public","AQ*",,,"(56.130366, -106.346771)"
"Volvo","20273","Sweden","2013","VOLVB SS","SE0000115446","73","C",,"Not public","AQ*",,,"(60.128161, 18.643501)"
"Lloyds Banking Group","10781","United Kingdom","2013","LLOY LN","GB0008706128","90","B",,"Public","AQ*","49,414","290,726","(55.378051, -3.435973)"
"SAP AG","16339","Germany","2013","SAP GR","DE0007164600","98","A",,"Public","AQ*","144,298","43,004","(51.165691, 10.451526)"
"PPG Industries, Inc.","14926","USA","2013","PPG US","US6935061076","60","D",,"Public","AQ*","4,053,000","1,810,000","(37.09024, -95.712891)"
"BP","2083","United Kingdom","2013","BP/ LN","GB0007980591","80","C",,"Public","AQ*","59,830,000","8,360,000","(55.378051, -3.435973)"
"HCP Inc.","23217","USA","2013","HCP US","US40414L1098","97","A-",,"Public","AQ*","28,940","216,887","(37.09024, -95.712891)"
"McDonald's Corporation","11581","USA","2013","MCD US","US5801351017","71","D",,"Not public","AQ*",,,"(37.09024, -95.712891)"
"Diageo Plc","4702","United Kingdom","2013","DGE LN","GB0002374006","98","A",,"Public","AQ*","597,619","83,898","(55.378051, -3.435973)"
"MMC Norilsk Nickel OSJC","7574","Russia","2013","GMKN RU","RU0007288411",,,,"Not public","DP",,,"(61.52401, 105.318756)"
"TJX Companies, Inc.","19145","USA","2013","TJX US","US8725401090","98","B",,"Public","AQ*","63,084","686,955","(37.09024, -95.712891)"
"Nippon Steel & Sumitomo Metal Corporation","13338","Japan","2013","5401 JP","JP3381000003","85","D",,"Not public","AQ*",,,"(36.204824, 138.252924)"
"Telstra Corporation","18519","Australia","2013","TLS AU","AU000000TLS2","83","B",,"Public","AQ*","53,587","1,374,617","(-25.274398, 133.775136)"
"Sumitomo Mitsui Financial Group","17899","Japan","2013","8316 JP","JP3890350006","86","B",,"Not public","AQ*",,,"(36.204824, 138.252924)"
"Assicurazioni Generali Spa","1076","Italy","2013","G IM","IT0000062072","87","A",,"Public","AQ*","17,861.7","47,876.6","(41.87194, 12.56738)"
"Emerson Electric Co.","5521","USA","2013","EMR US","US2910111044",,,,"Public","AQ*","264,967",,"(37.09024, -95.712891)"
"Kinder Morgan Inc.","10150","USA","2013","KMI US",,,,,,"NR",,,"(37.09024, -95.712891)"
"Denso Corporation","4566","Japan","2013","6902 JP","JP3551500006","71","C",,"Not public","AQ*",,,"(36.204824, 138.252924)"
"Antofagasta","820","United Kingdom","2013","ANTO LN","GB0000456144","92","C",,"Public","AQ*","645,371","1,539,442","(55.378051, -3.435973)"
"Banco do Brasil S/A","1405","Brazil","2013","BBAS3 BZ","BRBBASACNOR3","60","C",,"Public","AQ*","7,443.9","54,348.16","(-14.235004, -51.92528)"
"Starbucks Corporation","17652","USA","2013","SBUX US","US8552441094","86","C",,"Public","AQ*","239,972","792,644","(37.09024, -95.712891)"
"Freeport-McMoRan Copper & Gold Inc.","23228","USA","2013","FCX US","US35671D8570","86","C",,"Public","AQ*","5,679,367","3,985,464","(37.09024, -95.712891)"
"Fast Retailing Co., Ltd.","6161","Japan","2013","9983 JP","JP3802300008",,,,,"NR",,,"(36.204824, 138.252924)"
"Amazon.com Inc.","658","USA","2013","AMZN US","US0231351067",,,,,"NR",,,"(37.09024, -95.712891)"
"Takeda Pharmaceutical Company Limited","18316","Japan","2013","4502 JP","JP3463000004","79","C",,"Public","AQ*","238,684","168,509","(36.204824, 138.252924)"
"Lockheed Martin Corporation","10820","USA","2013","LMT US","US5398301094","91","A",,"Public","AQ*","249,491","985,006","(37.09024, -95.712891)"
"RWE AG","16036","Germany","2013","RWE GR","DE0007037129","93","B",,"Public","AQ*","181,690,000","1,940,000","(51.165691, 10.451526)"
"MTR Corporation","12552","Hong Kong","2013","66 HK","HK0066009694","87","C",,"Public","AQ*","53,568","1,171,764","(22.396428, 114.109497)"
"H&M Hennes & Mauritz AB","7903","Sweden","2013","HMB SS","SE0000106270","83","A",,"Public","AQ*","15,282","329,630","(60.128161, 18.643501)"
"NTT DOCOMO, INC.","13575","Japan","2013","9437 JP","JP3165650007","75","B",,"Public","AQ*","87,648","1,364,600","(36.204824, 138.252924)"
"China Construction Bank","3182","China","2013","939 HK","CNE1000002H1",,,,"Not public","AQ*",,,"(35.86166, 104.195397)"
"Inditex","9031","Spain","2013","ITX SM","ES0148396015","80","B",,"Public","AQ*","24,478.97","290,119.56","(40.463667, -3.74922)"
"Infosys Limited","9080","India","2013","INFO IN","INE009A01021","92","A",,"Public","AQ*","28,014.6","134,229.78","(20.593684, 78.96288)"
"Ace Ltd.","21320","Switzerland","2013","ACE US","CH0044328745","93","A",,"Public","AQ*","12,912","39,791","(46.818188, 8.227512)"
"Mitsubishi Electric Corporation","12144","Japan","2013","6503 JP","JP3902400005","60","D",,"Public","AQ*","322,000","791,000","(36.204824, 138.252924)"
"Commonwealth Bank of Australia","3649","Australia","2013","CBA AU","AU000000CBA7","94","A",,"Public","AQ*","11,160","145,989","(-25.274398, 133.775136)"
"Crown Castle International Corp","31501","USA","2013","CCI US","US2282271046",,,,,"NR",,,"(37.09024, -95.712891)"
"PNC Financial Services Group, Inc.","14830","USA","2013","PNC US","US6934751057","89","B",,"Public","AQ*","47,606","398,414","(37.09024, -95.712891)"
"Larsen & Toubro","10484","India","2013","LT IN","INE018A01030","83","B",,"Public","AQ*","424,351","248,130","(20.593684, 78.96288)"
"QUALCOMM Inc.","15419","USA","2013","QCOM US","US7475251036","56","D",,"Public","AQ*","64,782","49,216","(37.09024, -95.712891)"
"BNY Mellon","1464","USA","2013","BK US","US0640581007","100","A",,"Public","AQ*","9,513","208,926","(37.09024, -95.712891)"
"GDF Suez","7121","France","2013","GSZ FP","FR0010208488","95","B",,"Public","AQ*","154,230,874","3,712,790","(46.227638, 2.213749)"
"Texas Instruments Incorporated","18640","USA","2013","TXN US","US8825081040","64","D",,"Public","AQ*","827,274.44","1,588,465.81","(37.09024, -95.712891)"
"Vivendi SA","20319","France","2013","VIV FP","FR0000127771","69","D",,"Public","AQ*","90,755","345,818","(46.227638, 2.213749)"
"Souza Cruz S.A.","17442","Brazil","2013","CRUZ3 BZ","BRCRUZACNOR0",,,"British American Tobacco",,"SA",,,"(-14.235004, -51.92528)"
"Capital One Financial","2695","USA","2013","COF US","US14040H1059","71","C",,"Public","AQ*","14,501","194,433","(37.09024, -95.712891)"
"Marathon Oil Corporation","11347","USA","2013","MRO US","US5658491064",,,,,"NR",,,"(37.09024, -95.712891)"
"Swire Properties","37376","Hong Kong","2013","1972 HK","HK0000063609",,,"Swire Pacific",,"SA",,,"(22.396428, 114.109497)"
"SingTel","13899","Singapore","2013","ST SP","SG1T75931496","76","C",,"Public","AQ*","6,896.52","177,320.68","(1.352083, 103.819836)"
"UPS","19898","USA","2013","UPS US","US9113121068","99","A-",,"Public","AQ*","11,715,635","823,212","(37.09024, -95.712891)"
"PepsiCo, Inc.","14605","USA","2013","PEP US","US7134481081","94","B",,"Public","AQ*","3,854,784","1,928,490","(37.09024, -95.712891)"
"Telefonica","18427","Spain","2013","TEF SM","ES0178430E18","95","B",,"Public","AQ*","111,124","1,649,137","(40.463667, -3.74922)"
"Unilever plc","19829","United Kingdom","2013","ULVR LN","GB00B10RZP78","85","A",,"Public","AQ*","1,053,344","907,399","(55.378051, -3.435973)"
"Corning Incorporated","23254","USA","2013","GLW US","US2193501051","54","D",,"Public","AQ*","383,729","1,129,330","(37.09024, -95.712891)"
"Axiata Group Berhad","21419","Malaysia","2013","AXIATA MK","MYL6888OO001",,,,,"NR",,,"(4.210484, 101.975766)"
"Allergan, Inc.","533","USA","2013","AGN US","US0184901025","91","B",,"Public","AQ*","49,128","52,049","(37.09024, -95.712891)"
"Ecolab Inc.","5154","USA","2013","ECL US","US2788651006","98","A",,"Public","AQ*","336,258","199,296","(37.09024, -95.712891)"
"General Motors Company","7164","USA","2013","GM US","US37045V1008","100","A-",,"Public","AQ*","2,454,755","5,531,380","(37.09024, -95.712891)"
"BCE Inc.","1616","Canada","2013","BCE CN","CA05534B7604","91","B",,"Public","AQ*","99,151","186,890","(56.130366, -106.346771)"
"Barrick Gold Corporation","1536","Canada","2013","ABX CN","CA0679011084","87","B",,"Public","AQ*","3,784,179.51","2,229,368.38","(56.130366, -106.346771)"
"Exelon Corporation","6113","USA","2013","EXC US","US30161N1019","98","A",,"Public","AQ*","26,038,890","5,691,542","(37.09024, -95.712891)"
"Luxottica Group","11070","Italy","2013","LUX IM","IT0001479374",,,,"Not public","DP",,,"(41.87194, 12.56738)"
"The Travelers Companies, Inc.","19377","USA","2013","TRV US","US89417E1091","63","C",,"Public","AQ*","35,633","48,175","(37.09024, -95.712891)"
"Royal Bank of Canada","15980","Canada","2013","RY CN","CA7800871021","77","D",,"Public","AQ*","32,046","127,445","(56.130366, -106.346771)"
"Canadian Imperial Bank of Commerce (CIBC)","2683","Canada","2013","CM CN","CA1360691010","61","D",,"Public","AQ*","21,079","54,959","(56.130366, -106.346771)"
"China Petroleum & Chemical Corporation","3242","China","2013","386 HK","CNE1000002Q2",,,,"Public","AQ*",,,"(35.86166, 104.195397)"
"Johnson & Johnson","9829","USA","2013","JNJ US","US4781601046","98","A-",,"Public","AQ*","329,556","853,700","(37.09024, -95.712891)"
"Hong Kong Exchanges & Clearing","8560","Hong Kong","2013","388 HK","HK0388045442","76","D",,"Not public","AQ*",,,"(22.396428, 114.109497)"
"Novartis","13524","Switzerland","2013","NOVN VX","CH0012005267","96","B",,"Public","AQ*","637,838","1,013,238","(46.818188, 8.227512)"
"Wells Fargo & Company","20575","USA","2013","WFC US","US9497461015","96","A",,"Public","AQ*","93,904","1,333,372","(37.09024, -95.712891)"
"Philip Morris International","14712","USA","2013","PM US","US7181721090","97","B",,"Public","AQ*","441,953","433,892","(37.09024, -95.712891)"
"Coal India","31913","India","2013","COAL IN","INE522F01014",,,,,"NR",,,"(20.593684, 78.96288)"
"Ventas Inc","22873","USA","2013","VTR US","US92276F1003","85","C",,"Public","AQ*","43,381","314,379","(37.09024, -95.712891)"
"PTT","15297","Thailand","2013","PTT TB","TH0646010007","84","B",,"Public","AQ*","29,332,000","1,583,000","(15.870032, 100.992541)"
"BRF S.A","21473","Brazil","2013","BRFS3 BZ","BRBRFSACNOR8","83","B",,"Not public","AQ*",,,"(-14.235004, -51.92528)"
"National Grid","12832","United Kingdom","2013","NG/ LN","GB00B08SNH34","98","B",,"Public","AQ*","7,913,978","4,547,930","(55.378051, -3.435973)"
"HDFC Bank Ltd","8167","India","2013","HDFCB IN","INE040A01026","75","E","Housing Development Finance Corporation","Public","AQ*","5,872.23","347,770.21","(20.593684, 78.96288)"
"Williams Companies, Inc.","20705","USA","2013","WMB US","US9694571004",,,,,"NR",,,"(37.09024, -95.712891)"
"Holcim Ltd","8525","Switzerland","2013","HOLN VX","CH0012214059","82","C",,"Public","AQ*","102,102,123","6,600,687","(46.818188, 8.227512)"
"Yahoo Japan Corporation","20906","Japan","2013","4689 JP","JP3933800009","15",,,"Not public","AQ*",,,"(36.204824, 138.252924)"
"U.S. Bancorp","19593","USA","2013","USB US","US9029733048","78","C",,"Public","AQ*","38,055","370,672","(37.09024, -95.712891)"
"Rio Tinto","15829","United Kingdom","2013","RIO LN","GB0007188757","88","B",,"Public","AQ*","26,900,000","16,400,000","(55.378051, -3.435973)"
"Hyundai Mobis","8713","South Korea","2013","012330 KS","KR7012330007","94","B",,"Public","AQ*","40,966.85","291,956.94","(35.907757, 127.766922)"
"Cenovus Energy Inc.","29789","Canada","2013","CVE CN","CA15135U1093","94","B",,"Public","AQ*","4,657,427","1,079,646","(56.130366, -106.346771)"
