ticker,security,upright_company_name,industry,revenue_musd,employee_count,net_impact_ratio_percent,rank_top_percent,environment_cost_cents_per_dollar,environment_benefit_cents_per_dollar,ghg_emissions_cost_cents_per_dollar,ghg_emissions_benefit_cents_per_dollar,non_ghg_emissions_cost_cents_per_dollar,society_cost_cents_per_dollar,society_benefit_cents_per_dollar,health_cost_cents_per_dollar,health_benefit_cents_per_dollar,knowledge_cost_cents_per_dollar,knowledge_benefit_cents_per_dollar,largest_cost,largest_benefit,upright_url
NOW,SERVICENOW,SERVICENOW,,13278.0,29187.0,51.0,20.0,-2.9,0.4,-1.4,0.3,-0.3,-0.2,10.1,-0.7,0.7,-4.9,6.4,,,https://uprightplatform.com/company/02ea1d53-d965-4a81-b34a-2cca97e42e3b/ServiceNow/
SHW,SHERWIN-WILLIAMS,SHERWIN-WILLIAMS,,23099.0,63890.0,-75.0,92.0,-17.9,2.7,-10.8,1.6,-2.8,-0.6,8.2,-2.5,2.3,-2.1,0.1,,,https://uprightplatform.com/company/cec41e72-5fc2-430c-85e3-a72b5bee22a9/Sherwin-Williams/
SWKS,SKYWORKS SOLUTIONS,SKYWORKS SOLUTIONS,,4053.8,10000.0,22.0,48.0,-8.0,0.4,-3.4,0.2,-1.1,-0.2,9.5,-1.2,0.5,-3.3,6.0,,,https://uprightplatform.com/company/e967cc20-744f-4c8f-950b-edf3bc167442/Skyworks%20Solutions/
SNA,SNAP-ON,SNAP-ON,,5070.9,13000.0,-25.0,79.0,-11.8,1.5,-5.8,0.9,-2.1,-1.6,12.8,-3.8,1.1,-2.4,0.2,,,https://uprightplatform.com/company/042eac02-1d99-4d6f-beae-e42e18d6380e/Snap-on/
LUV,SOUTHWEST AIRLINES,SOUTHWEST AIRLINES,,28063.0,72790.0,-156.0,99.0,-37.1,1.0,-21.7,0.7,-7.4,-0.7,12.7,-4.8,4.1,-3.2,0.1,,,https://uprightplatform.com/company/a4d01f70-ba16-42de-94a9-3d6b43827845/Southwest%20Airlines/
STLD,STEEL DYNAMICS,STEEL DYNAMICS,,17540.0,14400.0,-26.0,79.0,-18.0,4.1,-10.0,1.8,-2.5,-1.5,13.6,-2.7,1.0,-1.6,0.1,,,https://uprightplatform.com/company/f6267096-3ae3-4de0-b999-342271192b20/Steel%20Dynamics/
STE,STERIS,STERIS,,,17787.0,52.0,19.0,-5.9,0.2,-2.6,0.1,-0.8,-0.5,10.7,-1.9,10.9,-3.1,2.1,,,https://uprightplatform.com/company/685c295b-398c-46c9-9660-5daeb3f622a1/Steris/
SYK,STRYKER,STRYKER,,22595.0,53000.0,59.0,14.0,-4.6,0.4,-2.1,0.2,-0.5,-0.4,10.0,-1.8,12.5,-2.8,0.3,,,https://uprightplatform.com/company/324d5954-c6de-4184-8c21-9d3e1fb49c0d/Stryker/
SNPS,SYNOPSYS,SYNOPSYS,,7054.18,28000.0,42.0,29.0,-4.6,0.5,-2.0,0.3,-0.6,-0.2,11.0,-0.6,0.8,-4.5,4.7,,,https://uprightplatform.com/company/b5138f6c-9263-497c-8dc4-d262f9e0a7c4/Synopsys/
TMUS,T-MOBILE US,T-MOBILE US,,82692.0,70000.0,33.0,39.0,-6.3,0.4,-3.0,0.3,-0.7,-0.4,10.0,-4.0,5.2,-3.9,6.1,,,https://uprightplatform.com/company/2afd3802-75c2-40a3-bc4a-8d7711270729/T-Mobile%20US/
TTWO,TAKE TWO INTERACTIVE SOFTWARE,TAKE TWO INTERACTIVE SOFTWARE,,6559.1,12928.0,-19.0,76.0,-3.9,0.1,-2.1,0.1,-0.3,-0.4,9.9,-19.3,13.8,-5.4,0.7,,,https://uprightplatform.com/company/baea6b82-9d03-4c3c-ba59-089ba16e26ce/Take%20Two%20Interactive%20Software/
TRGP,TARGA RESOURCES,TARGA RESOURCES,,17078.7,3370.0,-70.0,91.0,-31.7,1.0,-17.6,0.7,-5.3,-1.2,20.9,-3.3,0.8,-2.4,0.1,,,https://uprightplatform.com/company/689b8a05-6512-4a43-8a05-fa1ef1f8dd61/Targa%20Resources/
TDY,TELEDYNE TECHNOLOGIES,TELEDYNE TECHNOLOGIES,,5909.4,14900.0,27.0,44.0,-8.4,0.7,-4.0,0.5,-1.4,-1.1,12.1,-1.9,5.0,-3.8,3.1,,,https://uprightplatform.com/company/a5af92fc-b43c-44c1-99b5-a8fbc75f11a6/Teledyne%20Technologies/
TER,TERADYNE,TERADYNE,,2676.3,6500.0,43.0,29.0,-9.1,0.5,-3.4,0.3,-1.2,-0.1,13.2,-0.7,0.9,-3.6,9.0,,,https://uprightplatform.com/company/a8c5f9df-305f-41d1-9bb6-3056c72dbdd4/Teradyne/
TXT,TEXTRON,TEXTRON,,13683.0,35000.0,-62.0,90.0,-17.3,1.6,-9.2,1.1,-3.2,-5.0,14.4,-7.2,2.9,-2.4,0.8,,,https://uprightplatform.com/company/cd0f08f5-4846-4107-a74b-493037537842/Textron/
TTD,TRADE DESK,TRADE DESK,,2790.51,3522.0,-4.0,69.0,-3.8,0.1,-2.3,0.0,-0.2,-0.1,9.9,-1.9,0.4,-6.2,1.2,,,https://uprightplatform.com/company/adf71166-0b6d-47e1-b79b-454f9cf89810/Trade%20Desk/
TDG,TRANSDIGM,TRANSDIGM,,7940.0,16600.0,-3.0,68.0,-12.8,2.0,-7.1,1.4,-2.1,-0.3,12.0,-1.5,1.1,-2.0,1.0,,,https://uprightplatform.com/company/56399a8a-95f0-4325-9876-05339c1a43c5/Transdigm/
TRMB,TRIMBLE,TRIMBLE,,3798.3,12700.0,47.0,24.0,-7.0,1.8,-3.4,0.7,-1.1,-0.2,14.0,-0.8,1.9,-3.9,4.5,,,https://uprightplatform.com/company/c742b040-7220-4fab-8f5b-20d03945858c/Trimble/
USB,U.S. BANCORP,U.S. BANCORP,,42712.0,70263.0,16.0,54.0,-2.7,0.2,-1.4,0.1,-0.4,-0.5,8.4,-0.5,1.1,-5.4,1.1,,,https://uprightplatform.com/company/3c02a4f6-7561-4da9-af37-2a4a23f630c8/U.S.%20Bancorp/
UBER,UBER,UBER,,43978.0,31100.0,15.0,54.0,-21.7,4.4,-10.1,3.4,-6.2,-0.9,23.3,-4.6,6.5,-1.9,0.2,,,https://uprightplatform.com/company/1ca87739-ce2a-4afd-9b2b-17aacb3797c0/Uber/
UAL,UNITED AIRLINES,UNITED AIRLINES,,57063.0,111300.0,-131.0,98.0,-30.1,1.0,-15.6,0.7,-5.4,-0.9,12.2,-6.2,4.3,-3.3,0.1,,,https://uprightplatform.com/company/47ee6efd-1475-46e0-a1f1-1456e923a4cc/United%20Airlines/
UHS,UNIVERSAL HEALTH SERVICES,UNIVERSAL HEALTH SERVICES,,14281.98,86000.0,70.0,4.0,-6.2,0.2,-2.7,0.1,-1.1,-1.3,20.0,-2.2,24.6,-3.6,0.5,,,https://uprightplatform.com/company/be367066-0ea5-415c-a3d5-7e9d5b320d4c/Universal%20Health%20Services/
VEEV,VEEVA SYSTEMS,VEEVA SYSTEMS,,2968.22,7291.0,51.0,20.0,-2.7,0.4,-1.4,0.3,-0.3,-0.3,10.4,-0.6,2.1,-5.9,6.4,,,https://uprightplatform.com/company/40599f11-372e-4a42-a02c-f36837f65ae1/Veeva%20Systems/
VLTO,VERALTO,VERALTO,,5503.0,17000.0,51.0,20.0,-8.3,3.0,-4.4,0.4,-1.2,-0.2,16.6,-1.3,4.8,-3.0,1.8,,,https://uprightplatform.com/company/57b450bf-3974-4df4-bff7-99193d267d8e/Veralto/
VRSN,VERISIGN,VERISIGN,,1656.6,926.0,17.0,53.0,-2.2,0.2,-1.1,0.1,-0.2,-0.1,9.2,-0.4,0.2,-5.7,0.6,,,https://uprightplatform.com/company/87214006-39a9-4a2d-90e1-c1a8e0a40c6a/Verisign/
VRT,VERTIV,VERTIV,,10229.9,34000.0,21.0,49.0,-8.0,0.6,-3.6,0.4,-1.0,-0.2,9.5,-1.0,1.1,-2.8,4.0,,,https://uprightplatform.com/company/ed34a180-4c57-44eb-a194-36679e098f83/Vertiv/
VTRS,VIATRIS,VIATRIS,,14124.4,32000.0,52.0,19.0,-8.4,0.2,-3.4,0.1,-1.8,-1.7,8.0,-6.6,35.3,-4.0,0.1,,,https://uprightplatform.com/company/d0dd9d15-1f7d-47e8-8727-af636bab5bc3/Viatris/
VICI,VICI PROPERTIES,VICI PROPERTIES,,3600.0,28.0,-34.0,82.0,-6.6,0.1,-2.3,0.1,-1.5,-0.1,4.3,-0.2,3.2,-3.4,0.0,,,https://uprightplatform.com/company/48608ec1-ba85-4c4a-814d-de3003b3989b/VICI%20Properties/
VST,VISTRA ENERGY,VISTRA ENERGY,,14778.0,4870.0,-18.0,76.0,-28.9,8.6,-16.7,6.7,-4.3,-1.3,20.6,-2.8,0.6,-3.1,0.8,,,https://uprightplatform.com/company/f0fe5ec1-c875-440e-85fd-7f839109d90a/Vistra%20Energy/
VMC,VULCAN MATERIALS,VULCAN MATERIALS,,7594.6,11436.0,-53.0,88.0,-21.0,2.0,-10.2,1.1,-3.0,-1.0,13.7,-2.1,0.9,-1.3,0.0,,,https://uprightplatform.com/company/6db366e8-a03d-4b48-9f04-f0e7f7cffa9f/Vulcan%20Materials/
GWW,W. W. GRAINGER,W. W. GRAINGER,,17942.0,23500.0,-19.0,76.0,-9.0,0.7,-4.4,0.5,-1.0,-0.1,9.0,-0.6,0.4,-2.3,0.0,,,https://uprightplatform.com/company/60b8be0b-b50f-4f62-aaf6-9553709a55ae/W.%20W.%20Grainger/
WEC,WEC ENERGY,WEC ENERGY,,8893.0,7000.0,3.0,64.0,-25.2,4.7,-14.9,3.9,-3.4,-1.1,26.6,-1.8,0.4,-3.3,0.7,,,https://uprightplatform.com/company/dc9ab2fe-8c94-409c-90d7-57ed7faf4c83/WEC%20Energy/
WFC,WELLS FARGO,WELLS FARGO,,125397.0,205198.0,10.0,59.0,-2.6,0.2,-1.3,0.1,-0.3,-0.4,8.3,-0.4,0.8,-5.9,0.9,,,https://uprightplatform.com/company/5daea4c1-098b-42d1-a0f6-1c665e0440bf/Wells%20Fargo/
WST,WEST PHARMACEUTICAL SERVICES,WEST PHARMACEUTICAL SERVICES,,2928.6,10600.0,44.0,27.0,-8.9,0.1,-4.0,0.1,-1.3,-0.7,13.3,-3.3,15.1,-4.0,1.5,,,https://uprightplatform.com/company/713a9df1-2179-42b9-af47-ef31769f0b3a/West%20Pharmaceutical%20Services/
WDC,WESTERN DIGITAL,WESTERN DIGITAL,,9520.0,40000.0,13.0,56.0,-7.7,0.2,-3.4,0.1,-1.0,-0.3,8.5,-1.6,0.8,-3.2,5.1,,,https://uprightplatform.com/company/9f4405a8-2d17-4b8d-af72-c0d96bf63b86/Western%20Digital/
WSM,WILLIAMS-SONOMA,WILLIAMS-SONOMA,,7806.82,19800.0,-26.0,79.0,-13.0,1.1,-5.7,0.7,-1.7,-0.5,10.4,-1.9,2.4,-2.1,0.0,,,https://uprightplatform.com/company/c4cc8bfd-6786-4389-be4b-f512d5e5a84c/Williams-Sonoma/
WDAY,WORKDAY,WORKDAY,,9552.0,21000.0,51.0,20.0,-1.9,0.2,-0.9,0.1,-0.3,-0.1,10.7,-0.4,0.6,-5.7,5.1,,,https://uprightplatform.com/company/3ec6d926-a49f-456b-8276-8ee072af9a43/Workday/
WYNN,WYNN RESORTS,WYNN RESORTS,,6531.9,28000.0,-122.0,97.0,-8.1,0.2,-3.1,0.2,-1.1,-4.8,9.8,-21.3,6.2,-2.0,0.1,,,https://uprightplatform.com/company/fa3124c8-4132-4d68-90f1-7eb07a5d7494/Wynn%20Resorts/
XEL,XCEL ENERGY,XCEL ENERGY,,13957.0,11380.0,-5.0,70.0,-27.7,7.3,-15.9,6.2,-4.0,-1.4,24.9,-2.7,0.6,-3.6,0.7,,,https://uprightplatform.com/company/fcb3a630-47cf-4fc5-a950-b842ab2f54e7/Xcel%20Energy/
GPN,GLOBAL PAYMENTS,GLOBAL PAYMENTS,Financial Services,8891.87,27000.0,19.0,51.0,-4.2,0.2,-2.0,0.1,-0.3,-0.3,10.6,-0.4,0.5,-4.7,0.7,Scarce human capital,Taxes,https://uprightplatform.com/company/c6405e10-790c-44b7-b70f-70c83a747295/Global%20Payments/
